trait,trunk,series,0,1,2,3,4,5,6,Mean
Evil,A: II drivers,$\Delta P_0$,0.9884775075955152,0.96482687513522,0.9857628803369265,0.8589315492209383,0.8637095111825822,0.8497256216942958,0.8538829257832193,0.9093309815640996
Evil,A: II drivers,"$\Delta P_t^{0\leftarrow 0,[0]}$",0.9884775075955152,0.9455859997879923,0.9810689168085783,0.7960399197660006,0.78599549918263,0.7744990712626072,0.7580534174938138,0.8613886188424482
Evil,A: II drivers,"$\Delta P_t^{t\leftarrow 0,[0]}$",0.9884775075955152,0.9306976306319473,0.9755111927232112,0.7807189084688071,0.7751163127905354,0.7565071311061508,0.7445380458811571,0.8502238184567606
Evil,A: II drivers,"$\Delta P_t^{t\leftarrow t,[0]}$",0.9888624197412821,0.9111988248732152,0.9548569155991157,0.7312890787051486,0.7110606501500918,0.7008377787305313,0.6788088470864452,0.810987787840833
Evil,A: II drivers,"$\Delta P_t^{0\leftarrow 0,[t]}$",0.9884775075955152,0.9431999187401318,0.9633763790768702,0.8186495119323592,0.8746394466405664,0.8908312920055169,0.9091732247207702,0.9126210401016757
Evil,A: II drivers,"$\Delta P_t^{t\leftarrow 0,[t]}$",0.9884775075955152,0.9398610851122091,0.96051724257304,0.8298444501071823,0.8857884544918428,0.9026687841192385,0.9263800539709667,0.9190767968528563
Evil,A: II drivers,"$\Delta P_t^{t\leftarrow t,[t]}$",0.9888624197412821,0.9359054211906757,0.9523851256333844,0.8053663444029406,0.8835138060839798,0.8572867177546538,0.8859034719825126,0.9013176152556327
Evil,B: I drivers,$\Delta P_0$,0.9884775075955152,0.8928527613155125,0.9198141387786078,0.9458025981811304,0.9591620979821084,0.95023725818131,0.9941708194374941,0.9500738830673826
Evil,B: I drivers,"$\Delta P_t^{0\leftarrow 0,[0]}$",0.9884775075955152,0.8381736027701451,0.8611539453311446,0.9174654866031208,0.9117936073675161,0.8844923391843054,0.9863088844783265,0.9125521961900106
Evil,B: I drivers,"$\Delta P_t^{t\leftarrow 0,[0]}$",0.9884775075955152,0.8249313162449099,0.8503195280050984,0.913359255708941,0.9045064741469043,0.8793141322942982,0.9854441028428045,0.9066217595483531
Evil,B: I drivers,"$\Delta P_t^{t\leftarrow t,[0]}$",0.9888624197412821,0.7108446809553509,0.7870869675728203,0.8533905937508878,0.842234460714223,0.8218186286920985,0.9574470580312034,0.8516692584939808
Evil,B: I drivers,"$\Delta P_t^{0\leftarrow 0,[t]}$",0.9884775075955152,0.815109716448865,0.9467456926776106,0.9135645808527068,0.8880248481223921,0.8699666906444952,0.9612618616405708,0.9118786997117365
Evil,B: I drivers,"$\Delta P_t^{t\leftarrow 0,[t]}$",0.9884775075955152,0.8080763609091711,0.9538130093968419,0.9047792393091525,0.8832060468734222,0.8657140750059917,0.9662611877757621,0.9100467752665509
Evil,B: I drivers,"$\Delta P_t^{t\leftarrow t,[t]}$",0.9888624197412821,0.7372646548320939,0.9041366164938697,0.7921545353523247,0.8132616268508668,0.7943470188046531,0.9354367280509677,0.8522090857322938
Evil,C: Normal only (control),$\Delta P_0$,0.9884775075955152,0.9872898289180986,0.9895009302519422,0.9822139048200176,0.9903851410192621,0.9914327778787045,0.9886057022270733,0.9882722561015161
Evil,C: Normal only (control),"$\Delta P_t^{0\leftarrow 0,[0]}$",0.9884775075955152,0.9890902387257123,0.9877105883791895,0.9810408245007516,0.9877969626673833,0.9918015724009707,0.9882667276394008,0.9877406317012748
Evil,C: Normal only (control),"$\Delta P_t^{t\leftarrow 0,[0]}$",0.9884775075955152,0.9878492999955538,0.9849089898355324,0.9776566700322097,0.985137757280262,0.990401797665236,0.9854005933118636,0.985690373673739
Evil,C: Normal only (control),"$\Delta P_t^{t\leftarrow t,[0]}$",0.9888624197412821,0.9677340518950597,0.9598926396848225,0.9426174036984087,0.9566988498870008,0.967783460711957,0.9563956146098856,0.9628549200326308
Evil,C: Normal only (control),"$\Delta P_t^{0\leftarrow 0,[t]}$",0.9884775075955152,0.9692865068566948,0.9780619450214215,0.9754928936764476,0.9815267522405088,0.9761963964482581,0.9637309090687841,0.9761104158439471
Evil,C: Normal only (control),"$\Delta P_t^{t\leftarrow 0,[t]}$",0.9884775075955152,0.968609922843641,0.9744798740948739,0.9732985233111238,0.9796352872239403,0.9780733813222751,0.9630271629931524,0.9750859513406461
Evil,C: Normal only (control),"$\Delta P_t^{t\leftarrow t,[t]}$",0.9888624197412821,0.9567124224457088,0.943643299973235,0.926023401320176,0.9379224429409925,0.9582169981030704,0.9390978563814499,0.950068405843702
Sycophancy,A: II drivers,$\Delta P_0$,0.8553319388668601,0.5113471460909593,0.8481189907253919,0.6250042065708707,0.7167581397263166,0.23001895244586817,0.28934061580930737,0.5822742843193678
Sycophancy,A: II drivers,"$\Delta P_t^{0\leftarrow 0,[0]}$",0.8553319388668601,0.5344959499736449,0.895803538675206,0.6954145101509577,0.7709344338695173,0.15178841663719447,0.24633144183381198,0.5928714614295989
Sycophancy,A: II drivers,"$\Delta P_t^{t\leftarrow 0,[0]}$",0.8553319388668601,0.4837538114036625,0.8947015666588106,0.6181697512287428,0.7303416804886818,0.09956211006295927,0.19886700941099403,0.5543896954458158
Sycophancy,A: II drivers,"$\Delta P_t^{t\leftarrow t,[0]}$",0.8573447490777607,0.46549489905022584,0.8654200119170721,0.5764300747410058,0.6642016110075787,0.17917521579785622,0.2473286290697717,0.5507707415230387
Sycophancy,A: II drivers,"$\Delta P_t^{0\leftarrow 0,[t]}$",0.8553319388668601,0.7242350117796533,0.9141141865906826,0.8680789322016822,0.7733833608701198,0.8335145225941907,0.32903816843479095,0.7568137316197113
Sycophancy,A: II drivers,"$\Delta P_t^{t\leftarrow 0,[t]}$",0.8553319388668601,0.7338980323199713,0.9215260549273664,0.875798163091077,0.7765040461445354,0.7891015832395666,0.27457346561530743,0.7466761834578121
Sycophancy,A: II drivers,"$\Delta P_t^{t\leftarrow t,[t]}$",0.8573447490777607,0.5851876612471307,0.8801808778415492,0.6371551650482964,0.6302335079820645,0.6202869627814245,0.1889661636061814,0.6284792982263439
Sycophancy,B: I drivers,$\Delta P_0$,0.8553319388668601,0.8236370049505938,0.7206478392032165,0.8751869598781491,0.8226300059549749,0.7832468925423932,0.9174598157836954,0.8283057795971261
Sycophancy,B: I drivers,"$\Delta P_t^{0\leftarrow 0,[0]}$",0.8553319388668601,0.8889713103982401,0.8227105461847575,0.9297101635016028,0.8877641243939386,0.8537675947007637,0.9526987940210816,0.8844220674381778
Sycophancy,B: I drivers,"$\Delta P_t^{t\leftarrow 0,[0]}$",0.8553319388668601,0.8667662364891754,0.8119476563124457,0.9192618824325793,0.8714466054139106,0.8431460356755912,0.9534482150640426,0.8744783671792293
Sycophancy,B: I drivers,"$\Delta P_t^{t\leftarrow t,[0]}$",0.8573447490777607,0.852612978996119,0.8094818476602719,0.8627182811690867,0.8481925329521571,0.8309689492578274,0.8452006239503903,0.8437885661519448
Sycophancy,B: I drivers,"$\Delta P_t^{0\leftarrow 0,[t]}$",0.8553319388668601,0.9328592133595738,0.8275872654957411,0.9210675328627483,0.931835953239013,0.9087299312968171,0.9550182916411079,0.9046328752516944
Sycophancy,B: I drivers,"$\Delta P_t^{t\leftarrow 0,[t]}$",0.8553319388668601,0.9351242371947215,0.8276024281015121,0.9152114962208171,0.9458063313718473,0.9333576451684887,0.9617186563216837,0.9105932476065615
Sycophancy,B: I drivers,"$\Delta P_t^{t\leftarrow t,[t]}$",0.8573447490777607,0.9075464063923008,0.8801724960428787,0.8243131267673113,0.8973493735877981,0.8818884701159733,0.9166878224682266,0.8807574920646071
Sycophancy,C: Normal only (control),$\Delta P_0$,0.8553319388668601,0.8963481332434846,0.8891134634049453,0.9077205880461067,0.8828069357735514,0.9173613750502462,0.8594051453263117,0.8868696542445009
Sycophancy,C: Normal only (control),"$\Delta P_t^{0\leftarrow 0,[0]}$",0.8553319388668601,0.9295153861095624,0.9237084303785833,0.9465790107302013,0.9217977535454589,0.9505522512293875,0.8820909709410124,0.9156536774001524
Sycophancy,C: Normal only (control),"$\Delta P_t^{t\leftarrow 0,[0]}$",0.8553319388668601,0.9329011359502613,0.924671165954784,0.9485624041523699,0.9207645125075121,0.9513332282969029,0.8682755588705695,0.91454856351418
Sycophancy,C: Normal only (control),"$\Delta P_t^{t\leftarrow t,[0]}$",0.8573447490777607,0.9196628491332971,0.8857410131977898,0.8765314609475896,0.8638326517306238,0.8818998527970654,0.8073888485256788,0.8703430607728293
Sycophancy,C: Normal only (control),"$\Delta P_t^{0\leftarrow 0,[t]}$",0.8553319388668601,0.9330785773994639,0.9097938407647528,0.9188092078833543,0.8908088739130126,0.9514921741888008,0.9236964968316307,0.9118587299782679
Sycophancy,C: Normal only (control),"$\Delta P_t^{t\leftarrow 0,[t]}$",0.8553319388668601,0.9317556169144535,0.9123990493676277,0.9235192662574887,0.8971720326601569,0.9596065960802532,0.9396030878167928,0.9170553697090904
Sycophancy,C: Normal only (control),"$\Delta P_t^{t\leftarrow t,[t]}$",0.8573447490777607,0.89677428798852,0.8359619116169827,0.8301040543566589,0.7833726784502406,0.9243180167749263,0.8653621395518786,0.8561768339738526
