trait,trunk,model,0,1,2,3,4,5,6,Mean
Evil,A: II drivers,$M_0$ fit on $\Delta b$,-2.179255810920993,-2.941386016296901,0.28186893121677414,36.11690835531296,3.5966173806620683,20.412222202264545,14.300728325829182,9.94110048115252
Evil,A: II drivers,"$M_0$ fit $\times\, g(\mathbf{z}_t^{[0,0]})$",-0.10611819216345664,-24.89931921983947,-2.2296050649215244,12.4898504764327,-3.3136828313835447,-1.620913692337421,1.1946257190642573,-2.6407375435926377
Evil,A: II drivers,"$M_0$ fit $\times\, g(p_t^{[0]})$",1.2948314994871999,-16.12151536236859,0.15017927827873612,18.663572729097357,-1.487707813358878,2.6198596872166178,3.0341118655484394,1.164761697700126
Evil,A: II drivers,"$M_0$ fit $\times\, g(q_t^{[0,0]})$",1.633670883014278,-9.171072390762275,-3.214205714646165,28.885276419024446,-1.7045820188939023,13.687702104215635,7.6656700377495675,5.397494188528798
Evil,A: II drivers,"$M_0$ fit $\times\, g(\rho_t^{[0]})$",-0.6054541617244089,-5.280728415249376,-2.0379361289555438,30.133013730707802,-2.026115990894813,13.036904971108838,7.21742478919241,5.776729827740701
Evil,A: II drivers,"$M_0$ fit $\times\, g(r_t^{[0]})$",-0.34054541928732807,-1.3160969822144941,-0.34001003808187,33.01470005890539,-0.2608268540641836,15.086363042337204,8.54259998490146,7.769454827499454
Evil,A: II drivers,"$M_0$ fit $\times\, g(b_t)$",-1.4945684936188162,-3.8494112619834215,0.9665562083242034,12.084478396083703,-3.424758650857589,5.263160167100349,2.2410742719626002,1.6837900910015757
Evil,B: I drivers,$M_0$ fit on $\Delta b$,-2.179255810920993,23.243578801975175,18.9989402446056,-3.9179148645494672,10.926622983558598,9.220221950594773,-2.2127536370800147,7.7256342383119545
Evil,B: I drivers,"$M_0$ fit $\times\, g(\mathbf{z}_t^{[0,0]})$",-0.06763740092566017,-1.8834331056704148,-1.8589051627855433,-14.204454057781039,-2.9980721055797446,-7.495392214764308,-1.571876320415028,-4.297110052560249
Evil,B: I drivers,"$M_0$ fit $\times\, g(p_t^{[0]})$",1.016502722253807,5.820404668064915,2.952724538756314,-7.802177157544195,2.68706460199852,-1.294654692395305,-2.1458518516215532,0.1762875470732146
Evil,B: I drivers,"$M_0$ fit $\times\, g(q_t^{[0,0]})$",4.4610735560079275,15.491596106457784,5.939681021366527,-12.837129386494757,-1.4553037332662226,-3.9875812870755616,-12.422168548952559,-0.687118895993837
Evil,B: I drivers,"$M_0$ fit $\times\, g(\rho_t^{[0]})$",3.8714703493176374,17.580091482422915,9.298471572455897,-11.707573290755889,-1.1365123705920332,-4.6277620045551,-14.721348570039412,-0.20616611882085475
Evil,B: I drivers,"$M_0$ fit $\times\, g(r_t^{[0]})$",0.8067676076462478,13.701030714542037,6.99957919034332,-17.95520670489261,-5.055120286144751,-7.864009175362828,-14.40734195547841,-3.3963286584781422
Evil,B: I drivers,"$M_0$ fit $\times\, g(b_t)$",-1.5725806394556034,1.8799836775178171,0.45374305139875215,-6.946784297613424,-1.0033933303800815,-1.375883208658311,-1.6060790843865718,-1.4529991187967748
Evil,C: Normal only,$M_0$ fit on $\Delta b$,-2.179255810920993,0.1624554204885844,-0.6798057330733429,0.3202347537756558,-0.7470606354872187,-0.24159612332028546,0.2322525475272621,-0.44753936871576255
Evil,C: Normal only,"$M_0$ fit $\times\, g(\mathbf{z}_t^{[0,0]})$",-0.641487788101113,3.5230409484153906,2.539021944487985,1.2787039654743881,-0.7594377452429137,2.0955184573018464,-7.816403995075079,0.031279398180071895
Evil,C: Normal only,"$M_0$ fit $\times\, g(p_t^{[0]})$",2.1596212927715,1.650477328108542,0.03899052328418984,0.1717555527461836,-1.496882492896412,1.675107257959299,-1.4524018629486712,0.3923810855749474
Evil,C: Normal only,"$M_0$ fit $\times\, g(q_t^{[0,0]})$",0.6876034131669613,-2.888492548949215,-5.787803490510544,-4.922023420500741,-6.563233298030418,-6.032319159656879,-4.291986722693045,-4.256893603881983
Evil,C: Normal only,"$M_0$ fit $\times\, g(\rho_t^{[0]})$",-0.18673849045560775,-1.8504679103538746,-4.594678647723351,-4.821961796534126,-6.720343278433009,-7.064250581512373,-8.870701849865807,-4.872734650696878
Evil,C: Normal only,"$M_0$ fit $\times\, g(r_t^{[0]})$",-4.17095221392529,-4.027686122563361,-7.139908120239979,-5.701206273261527,-7.6321637293243665,-6.898896904682237,-8.539408621084817,-6.301460283583083
Evil,C: Normal only,"$M_0$ fit $\times\, g(b_t)$",0.3976768226376697,2.739388054198929,1.8971263138523766,2.8971673665360607,1.829871998405691,2.3353365103891104,2.809185163942522,2.1293931757089086
Sycophancy,A: II drivers,$M_0$ fit on $\Delta b$,3.4663892668475125,43.63049924138069,5.461899498222769,35.609297170422465,18.46293300353866,53.188497387149276,49.643618390962814,29.923304851217743
Sycophancy,A: II drivers,"$M_0$ fit $\times\, g(\mathbf{z}_t^{[0,0]})$",-0.442260703493047,24.839184780098044,-1.7590561404607437,15.075393584108186,7.462189564211005,14.99214959585659,20.445794687114322,11.516199338204908
Sycophancy,A: II drivers,"$M_0$ fit $\times\, g(p_t^{[0]})$",-4.658862489015094,27.086674540911726,-2.8410434728607488,26.188340067447513,14.961385176953067,33.84037104447171,38.723444444411435,19.04290133033137
Sycophancy,A: II drivers,"$M_0$ fit $\times\, g(q_t^{[0,0]})$",0.7863375187631947,37.044453917274694,-0.26726026135903513,28.234193440934114,11.70099598758723,45.05673469863121,41.63276057398738,23.455459410831256
Sycophancy,A: II drivers,"$M_0$ fit $\times\, g(\rho_t^{[0]})$",1.0641639030632826,37.96488922444905,1.017415241917334,24.289589083749085,8.558453268166677,38.13876735227106,35.34694028799928,20.911459765945107
Sycophancy,A: II drivers,"$M_0$ fit $\times\, g(r_t^{[0]})$",-3.834499881710178,35.494204292251396,-0.4922056888577364,29.152113149482787,13.855791144232475,43.86715839919233,41.32527149796646,22.766833273222506
Sycophancy,A: II drivers,"$M_0$ fit $\times\, g(b_t)$",0.6705855554637354,14.786162340559553,1.4391347007780997,11.10644853264627,2.761233676017716,10.374214678168107,9.55072047849076,7.2412142803034625
Sycophancy,B: I drivers,$M_0$ fit on $\Delta b$,3.4663892668475125,16.297330279197887,15.7386189534459,-1.1573441399442777,10.521223212207657,18.257133498967086,3.6788017271158973,9.543164685405381
Sycophancy,B: I drivers,"$M_0$ fit $\times\, g(\mathbf{z}_t^{[0,0]})$",1.4908009535740936,-0.418126042395059,-3.621696437801875,-7.5823359784906526,-4.33287100348837,-2.2203802349565587,-3.914897132347956,-2.9427865537009112
Sycophancy,B: I drivers,"$M_0$ fit $\times\, g(p_t^{[0]})$",-12.348545583656877,-8.540614271547986,-5.575043643576349,-1.0541288471835544,1.079444969838642,3.5073745084556984,2.9283785132841507,-2.857590622055182
Sycophancy,B: I drivers,"$M_0$ fit $\times\, g(q_t^{[0,0]})$",12.40706708377133,8.434260535407436,-2.2989891797614312,-18.167113801906204,-11.667647440186961,-8.325683859854164,-24.414975311330586,-6.290440281980083
Sycophancy,B: I drivers,"$M_0$ fit $\times\, g(\rho_t^{[0]})$",4.003317416458651,7.847060091611626,4.307800126145645,-11.487495541564293,-5.719058494837016,-1.7910059225809087,-14.145314319160466,-2.42638523484668
Sycophancy,B: I drivers,"$M_0$ fit $\times\, g(r_t^{[0]})$",-16.92597004548531,-5.463474274641058,-2.0499010055488656,-9.777604369010461,0.9779977682084131,8.025296594867898,11.555931945742095,-1.9511033408381846
