trait,trunk,model,0,1,2,3,4,5,6,Mean
Evil,A: II drivers,$M_0$ fit on $\Delta b$,10.926304658860513,11.10451114073438,10.332480534337742,39.07115059693187,15.132241949921534,25.290577506699485,20.864846173088505,18.96030179436772
Evil,A: II drivers,"$M_0$ fit $\times\, g(\mathbf{z}_t^{[0,0]})$",11.484840587686785,50.193222876372175,17.87476867144469,44.392837457983035,22.50873034643554,39.14105507693175,28.70907039197132,30.614932201260757
Evil,A: II drivers,"$M_0$ fit $\times\, g(p_t^{[0]})$",9.755504120382055,31.676734212765677,13.270384375976967,36.74278115300619,19.495619957716944,31.691159554889207,25.648600314232734,24.04011195556711
Evil,A: II drivers,"$M_0$ fit $\times\, g(q_t^{[0,0]})$",10.094776735665244,21.25209213880457,17.238598280530777,35.82602346939169,19.58109728363685,24.68108967293655,22.333853729632985,21.572504472942665
Evil,A: II drivers,"$M_0$ fit $\times\, g(\rho_t^{[0]})$",12.330142650053691,16.273260676534594,15.936493884158237,36.23070551400858,19.784348689071805,24.632828417194137,22.392745808007653,21.082932234146956
Evil,A: II drivers,"$M_0$ fit $\times\, g(r_t^{[0]})$",12.247080596169143,12.232004089717359,14.312162858852204,37.67677226996719,18.43160153214773,24.5714833400786,21.907786584645592,20.196984467368257
Evil,A: II drivers,"$M_0$ fit $\times\, g(b_t)$",12.648019480911783,14.315327871147378,12.447178572923812,40.76895823770883,21.38559707925957,29.306955773820874,26.36622155730091,22.462608367581883
Evil,A: II drivers,Refit at $t$,4.408726595163901,7.309629037392089,4.732374388265923,13.983595118885795,13.809077350445378,14.052586575248704,14.219946961243307,10.359419432377871
Evil,B: I drivers,$M_0$ fit on $\Delta b$,10.926304658860513,26.268854766607078,21.843455332626807,10.622296990658748,14.475869119459329,13.11598845956908,9.014787157427358,15.181079497886989
Evil,B: I drivers,"$M_0$ fit $\times\, g(\mathbf{z}_t^{[0,0]})$",11.245882547780282,42.731846021521406,36.84462115635502,28.864738994524437,29.60755299876049,32.706372212655076,10.747686973843852,27.535528700777228
Evil,B: I drivers,"$M_0$ fit $\times\, g(p_t^{[0]})$",10.122417414029428,31.37826690842002,28.902440336441504,17.450654316266164,20.803250630472608,22.492614680269394,11.912574128644877,20.437459773506284
Evil,B: I drivers,"$M_0$ fit $\times\, g(q_t^{[0,0]})$",8.23966424305442,25.515299041968657,25.955270642699794,24.682462702049726,25.477426090435674,25.867883289802812,27.071990810819276,23.258570974404336
Evil,B: I drivers,"$M_0$ fit $\times\, g(\rho_t^{[0]})$",8.30876323195283,25.35257472792996,23.47823607097305,23.026218649669815,25.12291415292541,26.761123226716965,30.67904357836964,23.246981948362524
Evil,B: I drivers,"$M_0$ fit $\times\, g(r_t^{[0]})$",10.17450372678839,26.09889832431277,25.247018729904237,32.63045623368952,30.444630163018925,31.47893521732547,30.33671492985516,26.63016533212778
Evil,B: I drivers,"$M_0$ fit $\times\, g(b_t)$",12.860754940260579,35.920001981401875,32.0640053236584,16.26524402344844,25.163603478995228,22.752378347525475,11.070641782566755,22.299518553979535
Evil,B: I drivers,Refit at $t$,4.408726595163901,11.372853951036625,9.72677690558025,8.355792923996045,7.340632941044591,7.822416052243927,2.949851990019338,7.4252930512978095
Evil,C: Normal only,$M_0$ fit on $\Delta b$,10.926304658860513,11.26435567484172,10.707089685258158,10.653996005781035,10.479775750183292,10.459248524681941,10.17760826427835,10.666911223412145
Evil,C: Normal only,"$M_0$ fit $\times\, g(\mathbf{z}_t^{[0,0]})$",11.511203779306122,10.149092511516322,8.906517610006507,11.589323445993596,12.245073669112989,9.797869983167589,23.64954210179012,12.549803300127607
Evil,C: Normal only,"$M_0$ fit $\times\, g(p_t^{[0]})$",7.996713453863064,11.53573682947772,11.699192442683009,12.71110072208125,13.287422551927726,10.168267882798066,14.117753099582712,11.64516956891622
Evil,C: Normal only,"$M_0$ fit $\times\, g(q_t^{[0,0]})$",10.06679750515059,17.458038320751015,19.879068291467203,19.560088997468622,20.693457603876247,20.521821595431682,18.303547707470777,18.068974288802305
Evil,C: Normal only,"$M_0$ fit $\times\, g(\rho_t^{[0]})$",10.870325283683107,16.09903776836653,18.193147586509305,19.402602647688347,20.90216322913951,21.985602232609516,24.77673167641703,18.889944346344766
Evil,C: Normal only,"$M_0$ fit $\times\, g(r_t^{[0]})$",16.256568309465333,19.196781673723823,21.88883561226745,20.74175088510089,22.293206310603804,21.83629086649145,24.233186779474014,20.920945776732395
Evil,C: Normal only,"$M_0$ fit $\times\, g(b_t)$",9.30759721269275,10.347205980390001,9.559872407817263,10.044219166769995,9.307169790023002,9.346489986869443,9.390438918144879,9.614713351815334
Evil,C: Normal only,Refit at $t$,4.408726595163901,4.670409743328449,4.184588418432328,5.288720809398308,3.9818300781329112,3.7838706916817397,4.254693487023329,4.367548546165852
