trait,trunk,series,model,0,1,2,3,4,5,6,Mean
Evil,A: II drivers,$\Delta P_0$,$M_0$ fit on $\Delta b$,9.978522285260738,10.380374507785168,9.384051177257685,39.24835930273727,14.957356202867375,25.367765965494012,20.866740611305186,18.597595721815345
Evil,A: II drivers,$\Delta P_0$,Refit at $t$,4.408726595163901,7.309629037392089,4.732374388265923,13.983595118885795,13.809077350445378,14.052586575248704,14.219946961243307,10.359419432377871
Evil,A: II drivers,"$\Delta P_t^{0\leftarrow 0,[0]}$",$M_0$ fit on $\Delta b$,9.978522285260738,11.943504179659305,9.27158157643775,42.05009590618021,18.32426467983377,26.93983271352247,23.44520374417711,20.279000726438767
Evil,A: II drivers,"$\Delta P_t^{0\leftarrow 0,[0]}$",Refit at $t$,4.408726595163901,9.04707641494836,5.450569195941014,16.527332829931947,16.939259085803617,16.86056792308231,17.818950437713482,12.43606892608352
Evil,A: II drivers,"$\Delta P_t^{t\leftarrow 0,[0]}$",$M_0$ fit on $\Delta b$,9.978522285260738,12.300387952905714,9.235891028728371,45.08675680959821,19.514528485945323,29.67745270585594,25.798380220663944,21.655988498422605
Evil,A: II drivers,"$\Delta P_t^{t\leftarrow 0,[0]}$",Refit at $t$,4.408726595163901,10.170888388981538,6.19053092591996,17.0635924837183,17.31151837785837,17.431237711620803,18.239363473938553,12.973693993885918
Evil,A: II drivers,"$\Delta P_t^{0\leftarrow 0,[t]}$",$M_0$ fit on $\Delta b$,9.978522285260738,26.48496492544163,10.940972798119946,19.480983469162663,19.413887965436338,17.164697569520936,15.984873252780613,17.06412889510327
Evil,A: II drivers,"$\Delta P_t^{0\leftarrow 0,[t]}$",Refit at $t$,4.408726595163901,9.237637921862708,7.547215563638623,15.682166586330885,13.282569678118518,12.109762317974926,11.377214747217792,10.520756201472478
Evil,A: II drivers,"$\Delta P_t^{t\leftarrow 0,[t]}$",$M_0$ fit on $\Delta b$,9.978522285260738,27.38611265374587,10.681932197301174,17.90802325916423,18.73926095452951,16.965927982566228,14.953043487534947,16.6589746885861
Evil,A: II drivers,"$\Delta P_t^{t\leftarrow 0,[t]}$",Refit at $t$,4.408726595163901,9.497095925163258,7.830570509361578,15.237100756302542,12.715816948744754,11.470116113317319,10.289045180108017,10.206924575451623
Evil,B: I drivers,$\Delta P_0$,$M_0$ fit on $\Delta b$,9.978522285260738,26.406071233311252,21.925802727419306,10.145568553718919,14.366198274900785,13.030339888004399,8.03362234058961,14.840875043315
Evil,B: I drivers,$\Delta P_0$,Refit at $t$,4.408726595163901,11.372853951036625,9.72677690558025,8.355792923996045,7.340632941044591,7.822416052243927,2.949851990019338,7.4252930512978095
Evil,B: I drivers,"$\Delta P_t^{0\leftarrow 0,[0]}$",$M_0$ fit on $\Delta b$,9.978522285260738,31.34795635637833,24.423727082474272,12.094845845149129,17.225119517982755,15.985874851844649,9.69294223234091,17.24985545306154
Evil,B: I drivers,"$\Delta P_t^{0\leftarrow 0,[0]}$",Refit at $t$,4.408726595163901,13.773315607482827,12.602258495851263,10.236008099431617,10.65705347109227,11.715143661007193,4.511885845974934,9.700627396572001
Evil,B: I drivers,"$\Delta P_t^{t\leftarrow 0,[0]}$",$M_0$ fit on $\Delta b$,9.978522285260738,31.072845069474305,24.49805804325994,12.022201163223421,17.966558320492798,17.0539160453753,8.196198341764177,17.255471324121526
Evil,B: I drivers,"$\Delta P_t^{t\leftarrow 0,[0]}$",Refit at $t$,4.408726595163901,14.27407745792123,13.046571575416824,10.476311267375355,11.067379516807959,11.958396099110557,4.651185009082556,9.983235360125482
Evil,B: I drivers,"$\Delta P_t^{0\leftarrow 0,[t]}$",$M_0$ fit on $\Delta b$,9.978522285260738,17.313180152568492,14.239132069469697,15.596214626441334,15.876700605925741,16.43737641088558,13.078164398902556,14.645612935636306
Evil,B: I drivers,"$\Delta P_t^{0\leftarrow 0,[t]}$",Refit at $t$,4.408726595163901,14.629485033663054,7.982197045142613,10.464451718549011,11.93249592306261,12.381956647707524,7.541408353836458,9.905817331017882
Evil,B: I drivers,"$\Delta P_t^{t\leftarrow 0,[t]}$",$M_0$ fit on $\Delta b$,9.978522285260738,17.094654755477254,13.558622947080341,15.321191750849843,15.61987593763229,16.14900311015224,12.060153735482023,14.25457493170496
Evil,B: I drivers,"$\Delta P_t^{t\leftarrow 0,[t]}$",Refit at $t$,4.408726595163901,14.87623988471823,7.447179032274645,10.958148796383103,12.170984542027384,12.568482000259309,7.046943525500385,9.925243482332421
Evil,C: Normal only (control),$\Delta P_0$,$M_0$ fit on $\Delta b$,9.978522285260738,10.312455444028721,9.73484819555123,9.709528796949934,9.504814091044354,9.503270968401962,9.222623168858773,9.709437564299387
Evil,C: Normal only (control),$\Delta P_0$,Refit at $t$,4.408726595163901,4.670409743328449,4.184588418432328,5.288720809398308,3.9818300781329112,3.7838706916817397,4.254693487023329,4.367548546165852
Evil,C: Normal only (control),"$\Delta P_t^{0\leftarrow 0,[0]}$",$M_0$ fit on $\Delta b$,9.978522285260738,10.059098969958804,9.906416677561161,9.808804936023908,9.812512349791001,10.212855512054741,9.889089243781315,9.952471424918809
