trait,target,forecast,$\Delta P_0$,"$\Delta P_t^{0\leftarrow 0,[0]}$","$\Delta P_t^{t\leftarrow 0,[0]}$","$\Delta P_t^{t\leftarrow t,[0]}$","$\Delta P_t^{0\leftarrow 0,[t]}$","$\Delta P_t^{t\leftarrow 0,[t]}$","$\Delta P_t^{t\leftarrow t,[t]}$",Mean
Evil,$b_{t+1}$,$c_t\equiv1$,13.384344648032208,14.525862442710652,14.097770098005915,19.01536779091021,22.149973581367266,22.13082076979767,23.18738333001594,18.355931808691405
Evil,$b_{t+1}$,"$c_t(\mathbf{z}_t^{[0,0]})$",13.441121828362549,14.744467075975635,14.987025334456442,18.862169352550623,26.429699055813995,27.731474453657814,30.140169687822848,20.9051609698057
Evil,$b_{t+1}$,"$c_t(\mathbf{z}_t^{[t,0]})$",13.191238756296357,14.667374360714163,14.912826232023466,19.066447167571294,27.516903438434515,27.936303831378474,29.782757975419155,21.010550251691058
Evil,$b_{t+1}$,$c_t(p_t^{[0]})$,12.481922235312016,13.589856970722527,14.246867970665862,18.734066226757886,20.79717695124594,22.17166527838604,24.960447082879497,18.140286102281397
Evil,$b_{t+1}$,$c_t(p_t^{[t]})$,12.924499119300238,13.578042901941584,14.171258548396187,18.987797937815426,22.868265126129902,24.168318897574533,26.75727396608108,19.065065213891277
Evil,$b_{t+1}$,"$c_t(q_t^{[0,0]})$",11.618649985413924,13.43883146821767,14.101001154486157,18.435165454681517,20.776883403839538,22.017239697346117,25.406106605241856,17.970553967032398
Evil,$b_{t+1}$,"$c_t(q_t^{[t,0]})$",12.130242615328886,13.559139637940762,14.118514190233807,18.772899855216757,21.407860646585693,22.70421688672628,25.746960109354127,18.348547705912328
Evil,$b_{t+1}$,$c_t(\rho_t^{[0]})$,11.644393398192959,13.400418079903218,14.011458167003825,18.205605759138987,20.763122245808148,21.91469016814949,25.50191526842427,17.920229012374413
Evil,$b_{t+1}$,$c_t(r_t^{[0]})$,11.881268234193463,13.48935212939324,14.204852229372385,18.155622138508058,21.23694674886305,22.31106149828641,25.94871166419536,18.175402091830282
Evil,$b_{t+1}$,$c_t(b_t)$,12.58536730525727,13.589737892135432,14.296330651689424,18.534545820559757,21.895042233155532,22.834345394135305,25.90205526428199,18.51963208017353
Evil,$\Delta b_{t+1}$,$c_t\equiv1$,14.936097505222284,16.438743558501653,16.740971706566892,17.552824560692564,15.006044085561598,14.594103107892462,15.757382142862289,15.86088095247139
Evil,$\Delta b_{t+1}$,"$c_t(\mathbf{z}_t^{[0,0]})$",23.566754734055195,23.02818606512021,22.47247027369389,23.15841137260501,14.84411482844453,14.65539507436153,17.920136206230872,19.949352650644464
Evil,$\Delta b_{t+1}$,"$c_t(\mathbf{z}_t^{[t,0]})$",25.827986813885033,24.689863160631994,24.11114455514686,24.251773240737798,14.71960919700909,14.440496503258105,17.14402066998908,20.740699162951138
Evil,$\Delta b_{t+1}$,$c_t(p_t^{[0]})$,18.707580432663207,19.961652856853323,19.89404783817625,21.640258138462734,13.889711089388305,13.51489772589345,16.369363316285526,17.71107305681754
Evil,$\Delta b_{t+1}$,$c_t(p_t^{[t]})$,19.330353394338037,20.565157317172,20.649979311682927,22.128363490087693,14.742846734561372,14.286611672648316,17.29128577976472,18.42779967146501
Evil,$\Delta b_{t+1}$,"$c_t(q_t^{[0,0]})$",20.966683245383102,22.620656752180334,22.556038530169346,23.93965241711341,13.978845069199952,13.767214863365274,16.72874731608907,19.22254831335721
Evil,$\Delta b_{t+1}$,"$c_t(q_t^{[t,0]})$",19.1875813377317,20.68910498840365,20.561708923916665,22.361563480204353,14.475300079713591,14.15569178465602,17.134762481077907,18.36653043938627
Evil,$\Delta b_{t+1}$,$c_t(\rho_t^{[0]})$,21.073286176284746,22.720498794585616,22.688614290834128,24.011942371567514,14.162712121279778,14.325665368546058,17.260755026159845,19.463353449893955
Evil,$\Delta b_{t+1}$,$c_t(r_t^{[0]})$,22.58269852540948,24.08017346328434,24.13654225324956,25.109251065964276,13.429918113515097,13.613140202139716,16.272929428496916,19.8892361502942
Evil,$\Delta b_{t+1}$,$c_t(b_t)$,18.125613424458916,19.197444006520204,19.219241021277426,21.0045758736303,13.967107863686241,14.022579406351335,16.962078268484685,17.499805694915587
Evil,Any,"$f_t$, refit",7.384087009947178,8.865740534818093,9.255550253018315,11.490516671979115,8.865915143765951,8.810997725858165,10.806234557489136,9.35414884241085
Sycophancy,$b_{t+1}$,$c_t\equiv1$,18.940031068349278,16.71588148180827,17.598932424802108,22.69132154989051,24.93218556470515,25.852761519509077,28.53666392301258,22.181111076010996
Sycophancy,$b_{t+1}$,"$c_t(\mathbf{z}_t^{[0,0]})$",22.298073604228215,17.952417932375194,19.818346718745026,25.810243975116673,31.781196478767768,32.24286161311756,37.2455878724656,26.735532599259432
Sycophancy,$b_{t+1}$,"$c_t(\mathbf{z}_t^{[t,0]})$",22.298107618093592,17.938028080626076,19.871763703820577,25.978052206441763,30.890409939887615,31.82562715169362,37.87524242267167,26.668175874747845
Sycophancy,$b_{t+1}$,$c_t(p_t^{[0]})$,22.322259978830687,18.343500484093862,19.007236100908706,24.06645584289926,28.892876738118513,30.129095257558713,33.839748665483896,25.22873900969909
Sycophancy,$b_{t+1}$,$c_t(p_t^{[t]})$,22.183565520543375,18.429016544013887,19.07516448862334,24.018329324228624,29.51219572034997,30.67022854099517,34.71930606807937,25.515400886690532
Sycophancy,$b_{t+1}$,"$c_t(q_t^{[0,0]})$",22.553319303869483,17.91942279960017,19.26724021719012,24.756235999427094,27.58391451986278,32.226211248808184,36.07970410753611,25.769435456613422
Sycophancy,$b_{t+1}$,"$c_t(q_t^{[t,0]})$",22.01146541764846,17.772283052144417,19.114329955659098,24.748211272373748,28.501776248781983,31.41876556895632,36.00679792074485,25.653375633758408
Sycophancy,$b_{t+1}$,$c_t(\rho_t^{[0]})$,22.119588463552777,17.708556074920324,19.19570282069513,24.725674200465782,27.91551312993712,30.815812417823388,34.732145587598765,25.316141813570475
Sycophancy,$b_{t+1}$,$c_t(r_t^{[0]})$,22.48786389944176,18.27070128945972,18.927358639587332,24.001975542219324,28.28718960019886,31.78123913291387,36.18649349788658,25.70611737167249
Sycophancy,$b_{t+1}$,$c_t(b_t)$,22.457272533693022,18.06630384677276,19.298606307560696,24.213919701882155,29.72711089860629,32.87466953410337,38.01900479131361,26.379555373418842
Sycophancy,$\Delta b_{t+1}$,$c_t\equiv1$,23.73034561731027,21.693743237085837,25.239482536397315,26.302094391699807,14.231065081901798,13.905692149086446,16.289728686174737,20.1988788142366
Sycophancy,$\Delta b_{t+1}$,"$c_t(\mathbf{z}_t^{[0,0]})$",21.196270532770342,17.687815111860953,19.089076937396367,22.95537873534007,17.243730796477717,16.035025065828833,18.102720895490727,18.901431153595006
Sycophancy,$\Delta b_{t+1}$,"$c_t(\mathbf{z}_t^{[t,0]})$",20.907486015540925,17.988510562078687,19.96234906912406,23.823683742600103,17.234255187848536,15.982484172660516,18.565085922581375,19.20912209606203
Sycophancy,$\Delta b_{t+1}$,$c_t(p_t^{[0]})$,23.342119155780914,19.948403048844227,21.443609585254336,24.327079889485397,16.25648767331775,15.72020780654852,18.440227513922395,19.925447810450503
Sycophancy,$\Delta b_{t+1}$,$c_t(p_t^{[t]})$,22.10433326270113,18.3214279162463,19.290524188899855,22.01987211088286,16.1140661248622,15.661818503469059,18.572600766223697,18.869234696183586
Sycophancy,$\Delta b_{t+1}$,"$c_t(q_t^{[0,0]})$",26.26401456662889,26.3131625836988,27.93945464987894,31.180762171815804,15.895729969767254,15.666291689149759,18.317505305602864,23.0824172766489
Sycophancy,$\Delta b_{t+1}$,"$c_t(q_t^{[t,0]})$",23.1949674958691,22.077766835419105,22.418999295280223,26.854979728138794,15.668376691926685,15.491093166744148,18.384915410633603,20.584442660573096
